file_name,text,source,split,video,start,end,duration,ocr_score,ocr_recall,ocr_text,avg_logprob,no_speech_prob,reject_reason
clips/dvtzhgajmmx_000000.wav,Чиста површина што не е жешка.,gold,train,DVTZhGAjMMX.mp4,0.0,1.98,1.98,75,1.0,ЧИСТА ПОВРШИНА ШТО НЕ Е ЖЕШКА. ГОТВАМ ДИРЕКТНО НА,-0.091,0.0,
clips/dvtzhgajmmx_000001.wav,Готвам директно на неја и веднаш можам да го допрам истото место без изгореници.,gold,train,DVTZhGAjMMX.mp4,2.12,7.38,5.26,79,0.8,ГОТВАМ ДИРЕКТНО НА МОЖАМ ДА ГО ДОПРАМ ИСТОТО МЕСТО БЕЗ ИЗГОРЕНИЦИ. BE3 ИЗGOREНИЦИ. КОГА КЕ ГО ВРАТАМ,-0.091,0.0,
clips/dvtzhgajmmx_000002.wav,"Кога ќе го вратам садот, готвенето продолжува веднаш.",gold,train,DVTZhGAjMMX.mp4,7.48,10.94,3.46,71,0.67,"BE3 ИЗGOREНИЦИ. КОГА КЕ ГО ВРАТАМ САДОТ, ГОТВЕНЬЕТО ПРОДОЛЖУВАВЕДНАШ. ВЕРОJАТНО СЕ G",-0.091,0.0,
clips/dvtzhgajmmx_000003.wav,Веројатно се прашувате како е тоа можна.,gold,train,DVTZhGAjMMX.mp4,11.1,13.58,2.48,71,0.8,ВЕРОJАТНО СЕ G ПРАШУВАТЕКАКО Е ТОА МОЖНО? ТОА Е УРЕД G,-0.091,0.0,
clips/dvtzhgajmmx_000004.wav,Тоа е уред на еднината.,silver,train,DVTZhGAjMMX.mp4,13.76,15.06,1.3,53,0.67,Е ТОА МОЖНО? ТОА Е УРЕД G НЕВИДЛИВА ИНДУКЦИСКА,-0.091,0.0,
clips/dvtzhgajmmx_000005.wav,Невидлива индукцијска технологија вградена под оваа прекрасна керамичка работна плоча.,gold,train,DVTZhGAjMMX.mp4,15.26,20.26,5.0,81,0.8,НЕВИДЛИВА ИНДУКЦИСКА ВГРАДЕНА ПОД ОВАА ПРЕКРАСНА КЕРАМИЧКА РАБОТНА ПОВРШИНА. СЕ ЗАГРЕВА САМО,-0.091,0.0,
clips/dvtzhgajmmx_000006.wav,"Се загрева само садот, додека работната површина останува безбедна на допир.",gold,train,DVTZhGAjMMX.mp4,20.38,24.94,4.56,69,0.67,ПОВРШИНА. СЕ ЗАГРЕВА САМО РАБОТНАТА ПОВРШИНА ОСТАНУВА БЕЗБЕДНА ИСТОТО МЕСТО МОЖЕ,-0.091,0.0,
clips/dvtzhgajmmx_000007.wav,"Истото место може да се користи за подготовка на храна, сечење, па дори и зајадени.",gold,train,DVTZhGAjMMX.mp4,24.94,30.44,5.5,76,0.78,"ОСТАНУВА БЕЗБЕДНА ИСТОТО МЕСТО МОЖЕ ДА СЕ КОРИСТИ ЗА ПОДГОТОВКА НА ХРАНА, СЕЧЕЊЕ, ПА ДУРИ И ЗА ЖАДЕНЬЕ. ТОА ЕМАГИЖАТА",-0.102,0.001,
clips/dvtzhgajmmx_000008.wav,Тоа е магијата на инвизакук.,silver,train,DVTZhGAjMMX.mp4,30.56,32.36,1.8,47,0.67,ДУРИ И ЗА ЖАДЕНЬЕ. ТОА ЕМАГИЖАТА HA INVISACOOK.,-0.102,0.001,
clips/dvtrjsaiftl_000000.wav,"Ба, Баружо, мајни ми се, не си заидала по мене.",silver,train,DVTrjsaiFtl.mp4,0.34,3.58,3.24,50,0.75,"QJIM Баба Ружо Баба Ружо OIM Мајни ми се,не си зайдалапо мене!! QJIM Тука знааш ли шо убави лажици ибунели има!",-0.278,0.0,
